UniProt	GeneName
A4D0Y5	C7orf77
Q49A92	C8orf34
Q96K31	C8orf76
Q8NA66	CNBD1
Q96M20	CNBD2
Q86VU5	COMTD1
Q9BYD5	CNFN
Q3B7I2	CNPY1
Q6PJW8	CNST
Q8N8G6	C15orf54
Q8N910	C15orf56
H3BRN8	C15orf65
Q9H4G8	DPH3P1
O60397	COX7A2P2
Q6UWD8	C16orf54
Q6ZW13	C16orf86
Q6UW02	CYP20A1
Q96RY5	CRAMP1
Q9GZN8	C20orf27
Q9H4G1	CST9L
Q5W188	CST9LP1
Q8IX95	CTAGE3P
Q8NCS7	SLC44A5
A4FU28	CTAGE9
Q9N2K0	null
O42043	ERVK-18
Q6ZRH7	CATSPERG
Q9NTU4	CATSPERZ
Q69384	ERVK-6
P61567	ERVK-7
Q902F8	ERVK-8
Q9H0I2	ENKD1
P58513	LINC00158
P58512	LINC01547
Q8TCZ7	LINC00308
P59091	LINC00315
A0A1B0GTU2	CTXND1
A0A1B0GV90	CTXND2
Q6ZV56	C22orf34
Q969M2	GJA10
Q96KN9	GJD4
A6NN92	GJE1
Q9BQA9	CYBC1
Q7Z7K0	CMC1
Q86X59	C17orf82
A8MU93	C17orf100
Q9Y3B6	EMC9
Q96A84	EMID1
Q8WXE0	CASKIN2
A4D2H0	CTAGE15
O15255	RTL8C
A8MTB9	CEACAM18
A6NDU8	C5orf51
Q711Q0	CEFIP
Q4VX62	C6orf99
Q6ZQR2	CFAP77
Q6P656	CFAP161
Q8IZ16	C7orf61
Q6ZUL3	C8orf86
E5RJ46	C8orf87
Q96KT6	LINC00208
Q8N1V2	CFAP52
Q96NF6	C8orf49
Q5T655	CFAP58
Q9BUK0	CHCHD7
Q8TBE1	CNIH3
Q86SG4	HMGN2P46
Q9NRU3	CNNM1
Q9BV87	CNPPD1
A6NNL5	C15orf61
O94777	DPM2
Q9P2X0	DPM3
Q9H8M1	COQ10B
P60606	CTXN1
Q2VPK5	CTU2
Q96M42	LINC00479
Q6ZN03	LINC00322
P58505	C21orf58
Q9NV44	LINC00846
P59036	LINC00310
P59037	LINC00313
P59089	LINC00205
Q9UJ94	LINC00527
P0DO92	T-ENOL
Q9NXE8	CWC25
Q9HAI6	CXorf21
Q8N9T2	NKAPP1
Q96LI9	CXorf58
A0A1B0GTR3	CXorf51A
P0DPH9	CXorf51B
Q8N2A0	LINC00269
A6NEN9	CXorf65
Q6YFQ2	COX6B2
P57773	GJA9
Q6PEY0	GJB7
H0Y354	FAM72C
Q8IUH2	CREG2
Q9H7T0	CATSPERB
Q86XM0	CATSPERD
P61568	ERVK11-1
Q9NX77	ERVK13-1
O71037	ERVK-19
P61570	ERVK-25
Q9HDB8	ERVK-5
Q9UKH3	ERVK-9
P0C2S0	CTXN2
Q6XXX2	LINC00114
A6NIU2	LINC01549
A6NM66	LINC01548
Q9NYP8	C21orf62
Q8NBI2	CYB561A3
Q49AR2	C5orf22
Q96MH7	C5orf34
Q9Y592	CEP83
Q5T699	C6orf183
Q96MT4	LINC01600
Q6ZU64	CFAP65
Q5JQF7	LINC01556
Q9P2B7	CFAP97
Q9H8W2	LINC00472
Q9BQ75	CMSS1
Q86U02	LINC00596
Q8NE01	CNNM3
Q9H9A5	CNOT10
Q9H4B8	DPEP3
A6NNT2	C16orf96
Q6P387	C16orf46
Q7Z3J2	C16orf62
A8MZG2	C16orf90
Q8N4C9	C17orf78
A8MV24	C17orf98
A8MQB3	C17orf51
Q86T23	CROCCP2
A0A140G945	CRYAA2
Q8NEV1	CSNK2A3
Q8WXD9	CASKIN1
Q9UFG5	C19orf25
Q9N2J8	null
Q5SY80	CATSPERE
P61565	ERVK-21
P61566	ERVK-24
Q9NWM3	CUEDC1
Q8WYQ4	C22orf15
Q9Y442	C22orf24
O95567	C22orf31
Q8N1L1	LINC00528
Q6P5X5	C22orf39
Q6IC83	C22orf42
C9J442	C22orf46
O96002	CXorf1
Q8TB33	LINC01560
A6NGU7	LINC01546
Q5VT33	LINC01545
Q8TB03	CXorf38
A8MYA2	CXorf49
Q96DE9	CXorf40B
Q9H5V9	CXorf56
Q5JRM2	CXorf66
Q86X51	CXorf67
Q8TF08	COX7B2
Q5VXM1	CDCP2
Q9Y6F8	CDY1
Q5SZD1	C6orf141
Q8IYW2	CFAP46
Q5SXM8	DNLZ
Q5JSL3	DOCK11
Q8NCQ2	CSNK1G2-AS1
Q8IZM0	null
Q86U37	LINC01551
Q4W4Y0	C14orf28
Q86TU6	LINC00523
Q9H972	C14orf93
Q9NWQ9	C14orf119
Q9NPU4	C14orf132
Q96I85	C14orf144
Q52M58	C14orf177
Q8N769	C14orf178
Q8WXQ3	LINC01599
Q9BZ76	CNTNAP3
Q8WUR7	C15orf40
Q9Y2V0	C15orf41
Q8N0S6	CENPL
Q9UKY3	CES1P1
Q8IYR0	CFAP206
Q8WU49	C7orf33
Q5SY13	COL5A1-AS1
A6NFQ7	DPRX
Q8NEE6	FBXL13
Q8IY82	DRC7
Q5VUJ9	EFCAB2
O43731	KDELR3
Q5W0A0	ERICH6B
Q86X53	ERICH1
A1L162	ERICH2
Q5RHP9	ERICH3
A6NGS2	ERICH4
Q6P6B1	ERICH5
P61579	ERVK-25
Q99679	GPR21
B6SEH8	ERVV-1
B6SEH9	ERVV-2
Q8TE67	EPS8L3
Q3ZM63	ETDA
P0DPP9	ETDB
A0A1B0GVM5	ETDC
Q6IPR1	ETFRF1
Q9BZE7	C22orf23
A8MZ36	EVPLL
Q86VI1	EXOC3L1
Q3KPI0	CEACAM21
Q8NAS9	C5orf17
Q7Z6I8	C5orf24
Q6UXA7	C6orf15
O95873	C6orf47
Q9HD87	C6orf50
Q9P0P8	C6orf203
A6NFT4	CFAP73
Q7Z4R8	C6orf120
Q9C0B2	CFAP74
Q5T6M2	LINC00242
Q8NI28	LINC01006
Q9BPX7	C7orf25
Q96MR6	CFAP57
Q9HCU8	POLD4
Q17RW2	COL24A1
Q494V2	CFAP100
Q9BSU1	C16orf70
Q9H9Y4	GPN2
Q7L0X2	ERICH6
O76042	ERC2-IT1
Q15760	GPR19
O00155	GPR25
Q49SQ1	GPR33
O15529	GPR42
Q8N954	GPATCH11
Q6ZVH7	ESPNL
O15544	LINC01565
Q8TC17	GRAPL
Q9C091	GREB1L
Q9UJA9	ENPP5
Q8IUS5	EPHX4
Q7Z2K6	ERMP1
Q99678	GPR20
Q9NS67	GPR27
Q96P67	GPR82
Q6UWM5	GLIPR1L1
Q9NWQ4	GPATCH2L
Q9BRR8	GPATCH1
Q9NW75	GPATCH2
Q5T3I0	GPATCH4
Q9UKJ3	GPATCH8
P0CJ86	DUX4L3
P0CJ87	DUX4L4
P0CJ88	DUX4L5
Q3B7J2	GFOD2
Q14156	EFR3A
Q8N9N8	EIF1AD
Q8N140	EID3
A0A087WX78	ELOA3C
A6NLF2	ELOA3D
P0DJR0	GIMD1
Q9NU53	GINM1
Q8TF65	GIPC2
Q5VSY0	GKAP1
P0CG01	GKN3P
Q6UWU2	GLB1L
Q58FF3	HSP90B2P
Q14507	EDDM3A
Q14236	DIAPH2-AS1
Q8TAY7	FAM110D
Q6P1L5	FAM117B
Q6PK57	DNM1P34
Q96MA1	DMRTB1
Q8N5C7	DTWD1
A1L429	GAGE12B
P0CL80	GAGE12F
A6NER3	GAGE12J
Q8N9W4	GOLGA6L2
A6NEY3	GOLGA6L3
A6NEF3	GOLGA6L4
A8MZA4	GOLGA6L6
A0A1B0GV03	GOLGA6L7
A6NEM1	GOLGA6L9
A6NI86	GOLGA6L10
H0YKK7	GOLGA6L19
H0YM25	GOLGA6L22
Q9HBQ8	GOLGA2P5
Q9UEU5	GAGE2D
Q5JRK9	PAGE2B
Q5YKI7	GGNBP1
A6NGU5	GGT3P
Q8IYW4	ENTHD1
Q9NQ60	EQTN
A6NHQ4	EPOP
P60509	ERVPABLB-1
P33947	KDELR2
Q9H596	DUSP21
P0DPD8	EEF1AKMT4-ECE2
Q8IY85	EFCAB13
C9JQL5	null
P56555	DSCR4
P59022	DSCR10
Q658K8	EEF1DP3
Q96G04	EEF2KMT
Q5U4N7	GDF5OS
Q9BUY7	EFCAB11
Q6NXP0	EFCAB12
P60507	ERVFC1
P60608	ERVFC1-1
Q9HAE3	EFCAB1
Q3SY89	ELOA3B
Q96JB1	DNAH8
Q96IM9	DYDC2
Q0VDD8	DNAH14
Q9UFH2	DNAH17
Q8TD57	DNAH3
Q9NVP4	DZANK1
Q8IYY4	DZIP1L
P0CF75	EBLN1
A4FU69	EFCAB5
A8K855	EFCAB7
A2CJ06	DYTN
Q86Y13	DZIP3
Q86YB7	ECHDC2
Q96DC8	ECHDC3
Q8N5I4	DHRSX
Q9H1X3	DNAJC25
P0DN84	null
Q9NYC9	DNAH9
Q6ZTU2	EP400P1
Q9HCS5	EPB41L4A
Q96PT4	DUX3
P54792	DVL1P1
Q6P2I7	EBLN2
A0A1B0GTR0	EDDM13
Q3B7T1	EDRF1
Q96MZ0	GDAP1L1
Q99675	CGRRF1
Q8N9H6	C8orf31
Q6P047	C8orf74
Q96M86	DNHD1
Q5JWR5	DOP1A
A0A0U1RQF7	DPEP2NB
Q9H5Z1	DHX35
Q8IY37	DHX37
Q8IX18	DHX40
Q5HYR2	DMRTC1
O96015	DNAL4
Q9NR33	POLE4
P0CJ85	DUX4L2
Q6ZN92	null
Q8WTR2	DUSP19
Q96PT3	DUX5
Q9BZD3	GCOM2
Q9C0G6	DNAH6
Q8IVF4	DNAH10
P57055	RIPPLY3
Q96T75	DSCR8
P59020	DSCR9
Q8IZU8	DSEL
P0CJ89	DUX4L6
P0CJ90	DUX4L7
Q9BY60	GABARAPL3
Q96G46	DUS3L
Q6RFH8	DUX4L9
A6NLW8	DUXA
Q30KR1	DEFB109B
Q8WV16	DCAF4
Q9P265	DIP2B
A7MBM2	DISP2
Q8IXT2	DMRTC2
Q9Y485	DMXL1
Q8NBA8	DTWD2
Q8WZA8	GCRG224
Q6P1R4	DUS1L
Q8N3D4	EHBP1L1
P61550	ERVS71-1
Q9NRY5	FAM114A2
Q8WW52	FAM151A
Q5BKY9	FAM133B
Q9UHL3	FAM153A
C9JC47	FAM157A
P0CG42	FAM157B
Q9Y6X4	FAM169A
Q5VUB5	FAM171A1
A8MVW0	FAM171A2
Q8TBP5	FAM174A
Q8NB25	FAM184A
A6NE01	FAM186A
Q8IYM0	FAM186B
Q7Z5A7	FAM19A5
Q96PV7	FAM193B
Q9UFP1	FAM198A
Q5SY85	FAM201A
Q9H8W3	FAM204A
Q6ZU69	FAM205A
Q63HN1	FAM205BP
A6NFA0	FAM205C
Q32MH5	FAM214A
Q8IW50	FAM219A
A6NKX1	FAM223B
Q96M60	FAM227B
Q86W67	FAM228A
P0C875	FAM228B
H3BQW9	FAM229A
Q4G0N7	FAM229B
P0DMU4	FAM231AP
A6NCW3	FAM231BP
P0DMU5	FAM231C
Q6ZW35	FAM231D
P0DMU3	null
A0A1B0GUQ0	FAM236A
A0A1B0GV22	FAM236B
A0A1B0GTK4	FAM237A
A0A1B0GVK7	FAM240A
A0A1B0GVZ2	FAM240B
Q8N8J7	FAM241A
Q96D05	FAM241B
Q8N7N1	FAM86B1
P0C5J1	FAM86B2
